problem_id,rating,tags
2156_D,1900.0,"['binary search', 'bitmasks', 'constructive algorithms', 'interactive']"
2156_C,1400.0,"['greedy', 'math', 'number theory']"
2156_B,1000.0,"['binary search', 'brute force', 'greedy', 'implementation']"
2156_A,800.0,"['brute force', 'constructive algorithms', 'greedy']"
2155_F,2800.0,"['data structures', 'dfs and similar', 'dfs and similar', 'dsu', 'graphs', 'graphs', 'meet-in-the-middle', 'trees']"
2155_E,2200.0,"['games', 'greedy', 'math']"
2155_D,1800.0,"['brute force', 'constructive algorithms', 'graph matchings', 'graphs', 'interactive', 'math']"
2155_C,1500.0,"['brute force', 'greedy', 'implementation']"
2155_B,1100.0,"['constructive algorithms', 'graphs']"
2155_A,800.0,"['implementation', 'math']"
2154_F2,3300.0,"['combinatorics', 'dp']"
2154_F1,2700.0,"['brute force', 'combinatorics', 'constructive algorithms', 'implementation', 'math']"
2154_E,2500.0,"['binary search', 'divide and conquer', 'greedy', 'sortings', 'ternary search', 'two pointers']"
2154_D,1900.0,"['constructive algorithms', 'dfs and similar', 'graphs', 'trees', 'two pointers']"
2154_C2,2000.0,"['greedy', 'math', 'number theory']"
2154_C1,1400.0,"['greedy', 'implementation', 'math', 'number theory']"
2154_B,1000.0,"['constructive algorithms', 'greedy']"
2154_A,800.0,"['greedy', 'two pointers']"
2153_F,2900.0,"['bitmasks', 'brute force', 'data structures', 'implementation', 'trees']"
2153_E,2400.0,"['brute force', 'math', 'number theory']"
2153_D,1800.0,"['dp', 'greedy']"
2153_C,1500.0,"['constructive algorithms', 'geometry', 'greedy', 'implementation', 'sortings']"
2153_B,800.0,"['bitmasks', 'greedy']"
2153_A,800.0,"['greedy', 'sortings']"
2152_H2,3500.0,"['data structures', 'greedy', 'schedules']"
2152_H1,2900.0,"['dfs and similar', 'dp', 'greedy']"
2152_G,2900.0,"['data structures', 'implementation', 'math', 'matrices', 'trees']"
2152_F,2500.0,"['data structures', 'greedy']"
2152_E,2100.0,"['constructive algorithms', 'graphs', 'greedy', 'interactive', 'math']"
2152_D,1700.0,"['games', 'greedy', 'math']"
2152_C,1400.0,"['data structures', 'greedy', 'math']"
2152_B,1300.0,['games']
2152_A,800.0,"['greedy', 'implementation']"
2151_C,1400.0,"['greedy', 'implementation', 'math']"
2151_A,800.0,"['math', 'strings']"
2150_G,3500.0,"['combinatorics', 'implementation']"
2150_F,3000.0,"['constructive algorithms', 'graphs', 'implementation', 'shortest paths', 'trees']"
2150_E2,2800.0,"['binary search', 'divide and conquer', 'interactive', 'math', 'probabilities']"
2150_E1,2600.0,"['divide and conquer', 'interactive', 'math', 'probabilities', 'sortings']"
2150_D,2700.0,"['combinatorics', 'dp', 'math']"
2150_C,2100.0,"['data structures', 'dp']"
2150_B,1700.0,"['combinatorics', 'implementation', 'math']"
2150_A,1300.0,"['data structures', 'hashing', 'implementation']"
2149_G,2100.0,"['binary search', 'brute force', 'data structures', 'divide and conquer', 'probabilities']"
2149_F,1900.0,"['binary search', 'math', 'ternary search']"
2149_E,1500.0,"['data structures', 'two pointers']"
2149_D,1200.0,['strings']
2149_C,900.0,['greedy']
2149_B,800.0,"['greedy', 'sortings']"
2149_A,800.0,['math']
2148_G,1900.0,"['binary search', 'data structures', 'math', 'number theory']"
2148_F,1800.0,"['greedy', 'implementation', 'sortings']"
2148_E,1200.0,"['binary search', 'data structures', 'two pointers']"
2148_D,1000.0,"['constructive algorithms', 'greedy', 'sortings']"
2148_C,900.0,"['greedy', 'math']"
2148_B,800.0,['geometry']
2148_A,800.0,"['brute force', 'hashing', 'math']"
2147_I2,3500.0,"['constructive algorithms', 'math']"
2147_I1,3300.0,"['constructive algorithms', 'math']"
2147_H,3500.0,"['constructive algorithms', 'flows', 'graphs']"
2147_G,3100.0,"['combinatorics', 'math', 'number theory']"
2147_F,2800.0,"['combinatorics', 'data structures', 'greedy']"
2147_E,2300.0,"['binary search', 'bitmasks', 'brute force', 'data structures', 'greedy']"
2147_D,1700.0,"['games', 'greedy']"
2147_C,1500.0,"['constructive algorithms', 'dp', 'greedy', 'implementation']"
2147_B,1000.0,['constructive algorithms']
2147_A,800.0,"['constructive algorithms', 'greedy']"
2146_F,2900.0,"['brute force', 'combinatorics', 'dp']"
2146_E,2300.0,"['brute force', 'constructive algorithms', 'data structures', 'divide and conquer', 'greedy', 'hashing']"
2146_D2,2000.0,"['bitmasks', 'constructive algorithms', 'divide and conquer', 'greedy']"
